Address:,TCPIP0::192.168.254.118::hislip0::INSTR,,Analog Channels,,
Model:,DSOS604A,,Time (s),3 (VOLT),
,,,-4.93458090563E-07,-0.000614876116287633,
,,,-4.93408090563E-07,-0.00022487126670967,
,,,-4.93358090563E-07,-0.000161627237048378,
,,,-4.93308090563E-07,-0.000614876116287633,
,,,-4.93258090563E-07,-0.00112609868938307,
,,,-4.93208090563E-07,-0.00127893842773119,
,,,-4.93158090563E-07,-0.00106812499552689,
,,,-4.93108090563E-07,-0.0010048809658656,
,,,-4.93058090563E-07,-0.00134218245739248,
,,,-4.93008090563E-07,-0.00136326380061291,
,,,-4.92958090563E-07,-0.000825689548491937,
,,,-4.92908090563E-07,-0.000572713429846772,
,,,-4.92858090563E-07,-0.00062014645209274,
,,,-4.92808090563E-07,-0.000240682274124993,
,,,-4.92758090563E-07,3.3375187740603E-05,
,,,-4.92708090563E-07,-0.000446225370524189,
,,,-4.92658090563E-07,-0.000799337869466399,
,,,-4.92608090563E-07,-0.000646498131118278,
,,,-4.92558090563E-07,-0.000767715854635753,
,,,-4.92508090563E-07,-0.00118934271904436,
,,,-4.92458090563E-07,-0.00124731641290055,
,,,-4.92408090563E-07,-0.00110501734616264,
,,,-4.92358090563E-07,-0.00113136902518818,
,,,-4.92308090563E-07,-0.00119988339065458,
,,,-4.92258090563E-07,-0.00111555801777286,
,,,-4.92208090563E-07,-0.00106285465972178,
,,,-4.92158090563E-07,-0.00114190969679839,
,,,-4.92108090563E-07,-0.0011471800326035,
,,,-4.92058090563E-07,-0.0010048809658656,
,,,-4.92008090563E-07,-0.000989069958450273,
,,,-4.91958090563E-07,-0.000931096264594089,
,,,-4.91908090563E-07,-0.000551632086626341,
,,,-4.91858090563E-07,-0.000588524437262095,
,,,-4.91808090563E-07,-0.00127366809192608,
,,,-4.91758090563E-07,-0.00134745279319759,
,,,-4.91708090563E-07,-0.00059906510887231,
,,,-4.91658090563E-07,-0.00035662966183736,
,,,-4.91608090563E-07,-0.000609605780482525,
,,,-4.91558090563E-07,-0.000451495706329297,
,,,-4.91508090563E-07,-0.000409333019888436,
,,,-4.91458090563E-07,-0.00086258189912769,
,,,-4.91408090563E-07,-0.00102596230908603,
,,,-4.91358090563E-07,-0.000894203913958336,
,,,-4.91308090563E-07,-0.00111028768196775,
